year,location,mileage,engine_capacity,transmission,service_history,drive_type,regional_specs,owners,fuel_type,cylinders,doors,seats,condition,modifications,name,aed_price,colour
2019,Souq Al Haraj,"106,000",1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mitsubishi Eclipse Cross 2019,"49,900",Gray
2009,Souq Al Haraj,"122,000",3500,Automatic,N/A,Rear Wheel Drive,Japanese Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz S-Class S 350 2009,"34,900",White
2019,Souq Al Haraj,"173,926",1998,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Mitsubishi ASX 2.0L GLX 2WD Mid Option 2019,"39,900",Red
2019,Souq Al Haraj,"105,608",3000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Mitsubishi Pajero 3.0L GLS 5 Door Mid 2019,"61,000",White
2012,Souq Al Haraj,"185,000",3000,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz S-Class S 300 2012,"42,000",Black
2020,Souq Al Haraj,"170,000",2400,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mitsubishi L200 Double Cab 2020,"52,900",White
2020,Souq Al Haraj,"104,000",1499,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Mitsubishi Eclipse Cross 2020,"54,900",Silver
2017,Souq Al Haraj,"305,113",N/A,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Diesel,4,2,N/A,Perfect inside out,N/A,Used Mitsubishi Canter 2017,"69,900",White
2020,Souq Al Haraj,"112,027",1498,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan Micra 1.5 SV 2020,"21,900",Silver
2020,Souq Al Haraj,"135,000",N/A,Manual,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,2 Seater,Perfect inside out,N/A,Used Peugeot Partner 2020,"34,900",White
2020,Souq Al Haraj,"121,739",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mitsubishi ASX 2020,"45,000",Silver
2020,Souq Al Haraj,"114,000",2972,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,8+ Seater,Perfect inside out,N/A,Used Mitsubishi Pajero 3.0L GL 5 Door 2020,"70,000",White
